:,ExtendedMessageFormat_ESTest::test00,ExtendedMessageFormat_ESTest::test01,ExtendedMessageFormat_ESTest::test02,ExtendedMessageFormat_ESTest::test03,ExtendedMessageFormat_ESTest::test04,ExtendedMessageFormat_ESTest::test05,ExtendedMessageFormat_ESTest::test06,ExtendedMessageFormat_ESTest::test07,ExtendedMessageFormat_ESTest::test08,ExtendedMessageFormat_ESTest::test09,ExtendedMessageFormat_ESTest::test10,ExtendedMessageFormat_ESTest::test11,ExtendedMessageFormat_ESTest::test12,ExtendedMessageFormat_ESTest::test13,ExtendedMessageFormat_ESTest::test14,ExtendedMessageFormat_ESTest::test15,ExtendedMessageFormat_ESTest::test16,ExtendedMessageFormat_ESTest::test17,ExtendedMessageFormat_ESTest::test18,ExtendedMessageFormat_ESTest::test19,
ExtendedMessageFormat_ESTest::test00 ,0,3,2,2,1,2,2,1,1,2,1,2,2,0,3,0,0,0,0,0,
ExtendedMessageFormat_ESTest::test01 ,3,0,3,3,2,2,3,2,2,3,3,3,3,3,4,3,3,3,3,3,
ExtendedMessageFormat_ESTest::test02 ,2,3,0,1,1,2,2,1,2,1,2,1,1,2,5,2,2,2,2,2,
ExtendedMessageFormat_ESTest::test03 ,2,3,1,0,1,2,2,1,2,1,2,1,1,2,5,2,2,2,2,2,
ExtendedMessageFormat_ESTest::test04 ,1,2,1,1,0,1,2,0,1,1,2,1,1,1,4,1,1,1,1,1,
ExtendedMessageFormat_ESTest::test05 ,2,2,2,2,1,0,2,1,1,2,2,2,2,2,3,2,2,2,2,2,
ExtendedMessageFormat_ESTest::test06 ,2,3,2,2,2,2,0,2,2,2,2,2,2,2,5,2,2,2,2,2,
ExtendedMessageFormat_ESTest::test07 ,1,2,1,1,0,1,2,0,1,1,2,1,1,1,4,1,1,1,1,1,
ExtendedMessageFormat_ESTest::test08 ,1,2,2,2,1,1,2,1,0,2,2,2,2,1,3,1,1,1,1,1,
ExtendedMessageFormat_ESTest::test09 ,2,3,1,1,1,2,2,1,2,0,2,0,0,2,5,2,2,2,2,2,
ExtendedMessageFormat_ESTest::test10 ,1,3,2,2,2,2,2,2,2,2,0,2,2,1,4,1,1,1,1,1,
ExtendedMessageFormat_ESTest::test11 ,2,3,1,1,1,2,2,1,2,0,2,0,0,2,5,2,2,2,2,2,
ExtendedMessageFormat_ESTest::test12 ,2,3,1,1,1,2,2,1,2,0,2,0,0,2,5,2,2,2,2,2,
ExtendedMessageFormat_ESTest::test13 ,0,3,2,2,1,2,2,1,1,2,1,2,2,0,3,0,0,0,0,0,
ExtendedMessageFormat_ESTest::test14 ,3,4,5,5,4,3,5,4,3,5,4,5,5,3,0,3,3,3,3,3,
ExtendedMessageFormat_ESTest::test15 ,0,3,2,2,1,2,2,1,1,2,1,2,2,0,3,0,0,0,0,0,
ExtendedMessageFormat_ESTest::test16 ,0,3,2,2,1,2,2,1,1,2,1,2,2,0,3,0,0,0,0,0,
ExtendedMessageFormat_ESTest::test17 ,0,3,2,2,1,2,2,1,1,2,1,2,2,0,3,0,0,0,0,0,
ExtendedMessageFormat_ESTest::test18 ,0,3,2,2,1,2,2,1,1,2,1,2,2,0,3,0,0,0,0,0,
ExtendedMessageFormat_ESTest::test19 ,0,3,2,2,1,2,2,1,1,2,1,2,2,0,3,0,0,0,0,0,
