:,Complex_ESTest::test00,Complex_ESTest::test01,Complex_ESTest::test02,Complex_ESTest::test03,Complex_ESTest::test04,Complex_ESTest::test05,Complex_ESTest::test06,Complex_ESTest::test07,Complex_ESTest::test08,Complex_ESTest::test09,Complex_ESTest::test10,Complex_ESTest::test11,Complex_ESTest::test12,Complex_ESTest::test13,Complex_ESTest::test14,Complex_ESTest::test15,Complex_ESTest::test16,Complex_ESTest::test17,Complex_ESTest::test18,Complex_ESTest::test19,Complex_ESTest::test20,Complex_ESTest::test21,Complex_ESTest::test22,Complex_ESTest::test23,Complex_ESTest::test24,Complex_ESTest::test25,Complex_ESTest::test26,Complex_ESTest::test27,Complex_ESTest::test28,Complex_ESTest::test29,Complex_ESTest::test30,Complex_ESTest::test31,Complex_ESTest::test32,Complex_ESTest::test33,Complex_ESTest::test34,Complex_ESTest::test35,Complex_ESTest::test36,Complex_ESTest::test37,Complex_ESTest::test38,Complex_ESTest::test39,Complex_ESTest::test40,Complex_ESTest::test41,Complex_ESTest::test42,Complex_ESTest::test43,Complex_ESTest::test44,Complex_ESTest::test45,Complex_ESTest::test46,Complex_ESTest::test47,Complex_ESTest::test48,Complex_ESTest::test49,Complex_ESTest::test50,Complex_ESTest::test51,Complex_ESTest::test52,Complex_ESTest::test53,Complex_ESTest::test54,Complex_ESTest::test55,Complex_ESTest::test56,Complex_ESTest::test57,Complex_ESTest::test58,Complex_ESTest::test59,Complex_ESTest::test60,Complex_ESTest::test61,Complex_ESTest::test62,Complex_ESTest::test63,Complex_ESTest::test64,Complex_ESTest::test65,Complex_ESTest::test66,Complex_ESTest::test67,Complex_ESTest::test68,Complex_ESTest::test69,Complex_ESTest::test70,Complex_ESTest::test71,Complex_ESTest::test72,Complex_ESTest::test73,Complex_ESTest::test74,Complex_ESTest::test75,Complex_ESTest::test76,Complex_ESTest::test77,Complex_ESTest::test78,Complex_ESTest::test79,Complex_ESTest::test80,Complex_ESTest::test81,Complex_ESTest::test82,Complex_ESTest::test83,Complex_ESTest::test84,Complex_ESTest::test85,Complex_ESTest::test86,
Complex_ESTest::test00 ,0,4,3,3,4,4,3,4,4,3,3,4,3,3,2,3,3,2,4,1,4,4,2,4,2,4,2,2,3,2,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,3,4,4,4,3,3,3,4,2,4,4,4,4,3,2,4,3,3,2,3,2,3,4,3,4,2,3,3,3,3,2,2,4,4,4,3,4,4,4,
Complex_ESTest::test01 ,4,0,1,1,0,0,1,0,2,1,1,0,1,1,2,1,1,2,0,3,0,0,2,0,2,0,2,2,1,2,0,0,0,0,1,0,0,1,1,2,0,1,0,1,2,2,4,0,1,0,0,0,1,1,1,0,4,0,0,0,0,1,2,0,1,1,2,1,2,1,0,1,0,2,1,1,1,1,2,2,5,3,4,4,0,0,0,
Complex_ESTest::test02 ,3,1,0,1,1,1,1,1,2,1,0,1,1,0,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,5,3,4,4,1,1,1,
Complex_ESTest::test03 ,3,1,1,0,1,1,0,1,2,0,1,1,0,1,1,0,0,1,1,2,1,1,1,1,2,1,2,1,0,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,2,4,1,0,1,1,1,0,0,0,1,4,1,1,1,1,0,2,1,1,0,1,0,1,0,1,1,1,2,1,0,1,0,2,1,4,2,3,3,1,1,1,
Complex_ESTest::test04 ,4,0,1,1,0,0,1,0,2,1,1,0,1,1,2,1,1,2,0,3,0,0,2,0,2,0,2,2,1,2,0,0,0,0,1,0,0,1,1,2,0,1,0,1,2,2,4,0,1,0,0,0,1,1,1,0,4,0,0,0,0,1,2,0,1,1,2,1,2,1,0,1,0,2,1,1,1,1,2,2,5,3,4,4,0,0,0,
Complex_ESTest::test05 ,4,0,1,1,0,0,1,0,2,1,1,0,1,1,2,1,1,2,0,3,0,0,2,0,2,0,2,2,1,2,0,0,0,0,1,0,0,1,1,2,0,1,0,1,2,2,4,0,1,0,0,0,1,1,1,0,4,0,0,0,0,1,2,0,1,1,2,1,2,1,0,1,0,2,1,1,1,1,2,2,5,3,4,4,0,0,0,
Complex_ESTest::test06 ,3,1,1,0,1,1,0,1,2,0,1,1,0,1,1,0,0,1,1,2,1,1,1,1,2,1,2,1,0,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,2,4,1,0,1,1,1,0,0,0,1,4,1,1,1,1,0,2,1,1,0,1,0,1,0,1,1,1,2,1,0,1,0,2,1,4,2,3,3,1,1,1,
Complex_ESTest::test07 ,4,0,1,1,0,0,1,0,2,1,1,0,1,1,2,1,1,2,0,3,0,0,2,0,2,0,2,2,1,2,0,0,0,0,1,0,0,1,1,2,0,1,0,1,2,2,4,0,1,0,0,0,1,1,1,0,4,0,0,0,0,1,2,0,1,1,2,1,2,1,0,1,0,2,1,1,1,1,2,2,5,3,4,4,0,0,0,
Complex_ESTest::test08 ,4,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,3,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,3,3,2,2,2,
Complex_ESTest::test09 ,3,1,1,0,1,1,0,1,2,0,1,1,0,1,1,0,0,1,1,2,1,1,1,1,2,1,2,1,0,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,2,4,1,0,1,1,1,0,0,0,1,4,1,1,1,1,0,2,1,1,0,1,0,1,0,1,1,1,2,1,0,1,0,2,1,4,2,3,3,1,1,1,
Complex_ESTest::test10 ,3,1,0,1,1,1,1,1,2,1,0,1,1,0,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,5,3,4,4,1,1,1,
Complex_ESTest::test11 ,4,0,1,1,0,0,1,0,2,1,1,0,1,1,2,1,1,2,0,3,0,0,2,0,2,0,2,2,1,2,0,0,0,0,1,0,0,1,1,2,0,1,0,1,2,2,4,0,1,0,0,0,1,1,1,0,4,0,0,0,0,1,2,0,1,1,2,1,2,1,0,1,0,2,1,1,1,1,2,2,5,3,4,4,0,0,0,
Complex_ESTest::test12 ,3,1,1,0,1,1,0,1,2,0,1,1,0,1,1,0,0,1,1,2,1,1,1,1,2,1,2,1,0,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,2,4,1,0,1,1,1,0,0,0,1,4,1,1,1,1,0,2,1,1,0,1,0,1,0,1,1,1,2,1,0,1,0,2,1,4,2,3,3,1,1,1,
Complex_ESTest::test13 ,3,1,0,1,1,1,1,1,2,1,0,1,1,0,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,5,3,4,4,1,1,1,
Complex_ESTest::test14 ,2,2,2,1,2,2,1,2,2,1,2,2,1,2,0,1,1,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,4,2,1,2,2,2,1,1,1,2,4,2,2,2,2,1,2,2,2,1,1,1,1,1,2,2,2,1,2,1,2,1,1,1,4,3,3,3,2,2,2,
Complex_ESTest::test15 ,3,1,1,0,1,1,0,1,2,0,1,1,0,1,1,0,0,1,1,2,1,1,1,1,2,1,2,1,0,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,2,4,1,0,1,1,1,0,0,0,1,4,1,1,1,1,0,2,1,1,0,1,0,1,0,1,1,1,2,1,0,1,0,2,1,4,2,3,3,1,1,1,
Complex_ESTest::test16 ,3,1,1,0,1,1,0,1,2,0,1,1,0,1,1,0,0,1,1,2,1,1,1,1,2,1,2,1,0,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,2,4,1,0,1,1,1,0,0,0,1,4,1,1,1,1,0,2,1,1,0,1,0,1,0,1,1,1,2,1,0,1,0,2,1,4,2,3,3,1,1,1,
Complex_ESTest::test17 ,2,2,1,1,2,2,1,2,2,1,1,2,1,1,1,1,1,0,2,1,2,2,0,2,1,2,1,0,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,3,2,1,2,2,2,1,1,1,2,3,2,2,2,2,1,1,2,1,1,0,1,0,1,2,1,2,2,1,1,1,1,2,0,4,3,3,3,2,2,2,
Complex_ESTest::test18 ,4,0,1,1,0,0,1,0,2,1,1,0,1,1,2,1,1,2,0,3,0,0,2,0,2,0,2,2,1,2,0,0,0,0,1,0,0,1,1,2,0,1,0,1,2,2,4,0,1,0,0,0,1,1,1,0,4,0,0,0,0,1,2,0,1,1,2,1,2,1,0,1,0,2,1,1,1,1,2,2,5,3,4,4,0,0,0,
Complex_ESTest::test19 ,1,3,2,2,3,3,2,3,3,2,2,3,2,2,2,2,2,1,3,0,3,3,1,3,2,3,1,1,2,1,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,2,3,3,3,2,2,2,3,2,3,3,3,3,2,2,3,2,2,1,2,1,2,3,2,3,2,2,2,2,2,2,1,4,3,3,3,3,3,3,
